exec,K-viz,K-iter,iter-fim,aval,vlrObj
1,30,6,3,91,2,0,4,6,0,7,1,8,2,0,3,5,0
2,30,6,3,91,4,0,6,8,0,4,2,5,3,0,7,1,0
3,30,6,3,91,2,0,2,4,0,6,8,7,1,0,3,5,0
4,30,6,4,121,2,0,5,8,0,7,2,1,3,0,4,6,0
5,30,6,3,91,3,0,1,7,0,5,3,4,2,0,8,6,0
6,30,6,3,91,4,0,5,7,0,8,2,3,1,0,4,6,0
7,30,6,3,91,2,0,7,3,0,2,4,1,5,0,6,8,0
8,30,6,4,92,0,0,5,3,0,2,8,1,7,0,6,4,0
exec,K-viz,K-iter,iter-fim,aval,vlrObj
1,30,6,4,121,2,0,7,5,0,4,2,3,1,0,8,6,0
2,30,6,4,121,2,0,8,1,0,6,4,5,3,0,2,7,0
3,30,6,4,121,2,0,3,1,0,6,8,7,5,0,4,2,0
4,30,6,4,121,3,0,2,4,0,7,5,8,6,0,1,3,0
5,30,6,3,91,4,0,5,3,0,1,7,8,6,0,4,2,0
6,30,6,4,121,3,0,6,1,0,2,8,3,4,0,5,7,0
7,30,6,2,61,2,0,8,5,0,6,2,1,3,0,4,7,0
8,30,6,4,121,2,0,5,8,0,7,2,1,3,0,4,6,0
9,30,6,4,94,0,0,5,3,0,2,8,1,7,0,6,4,0
exec,K-viz,K-iter,iter-fim,aval,vlrObj
1,30,6,4,121,2,0,6,8,0,4,2,3,1,0,7,5,0
2,30,6,3,91,1,0,5,3,0,2,8,1,7,0,4,6,0
3,30,6,3,91,2,0,3,1,0,7,5,6,4,0,2,8,0
4,30,6,3,91,4,0,7,1,0,2,4,5,3,0,6,8,0
5,30,6,4,121,2,0,3,1,0,7,5,6,4,0,2,8,0
6,30,6,3,91,4,0,6,8,0,4,2,3,1,0,5,7,0
7,30,6,4,121,4,0,5,3,0,8,2,7,1,0,6,4,0
8,30,6,4,121,2,0,5,1,0,3,8,2,7,0,6,4,0
9,30,6,2,61,4,0,6,2,0,8,4,7,5,0,3,1,0
10,30,6,4,121,2,0,7,2,0,3,5,4,6,0,8,1,0
